plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
8052, 5109, 177.0831, 1.2264, 111, 6, 6, 27870.6875, 57002,57117,57029,
8053, 5067, 11.86667, 85.305, 100, 0, 1, 0.0, NOT,OBSERVED
8072, 5120, 299.71154, 21.850973, 100, 3, 3, 12117.846, 58224,58214,56902,
8073, 5014, 299.6499, 44.8714, 100, 1, 1, 5169.7524, 57267,
8074, 5111, 27.916, 37.5382, 100, 3, 3, 10229.4837, 57000,57003,57029,
8077, 2045, 40.7631, 0.0, 100, 2, 1, 6092.0704, 57307,57308,
8078, 2046, 41.3331, 0.0, 100, 1, 1, 6264.2744, 57309,
8079, 2047, 42.2731, 0.0, 100, 2, 1, 6483.2706, 58017,58018,
8080, 2048, 48.5431, 0.0, 100, 3, 1, 9296.8501, 57665,57666,57662,
8081, 2049, 49.0231, 0.0, 100, 3, 1, 8210.0504, 56960,57306,56959,
8082, 2050, 49.4731, 0.0, 100, 2, 1, 6500.482, 56954,56955,
8083, 2051, 50.1731, 0.0, 100, 4, 1, 14700.3572, 56955,56956,56957,56958,
8084, 2052, 51.3431, 0.0, 100, 6, 1, 15305.806, 57423,57424,57425,57426,57427,57340,
8085, 2053, 52.2331, -0.0001, 100, 5, 1, 9893.454, 57658,57659,57660,57662,57663,
8086, 2054, 56.2731, -0.0146, 100, 3, 1, 9158.4753, 57332,57309,57333,
8087, 2055, 357.3045, 14.8881, 100, 0, 1, 0.0, NOT,OBSERVED
8088, 2057, 4.2445, 15.0127, 100, 0, 1, 0.0, NOT,OBSERVED
8089, 2058, 7.2545, 14.9852, 100, 0, 1, 0.0, NOT,OBSERVED
8090, 2059, 10.2645, 14.8847, 100, 0, 1, 0.0, NOT,OBSERVED
8091, 2060, 12.7745, 14.8867, 100, 0, 1, 0.0, NOT,OBSERVED
8092, 2061, 19.4845, 14.5536, 100, 0, 1, 0.0, NOT,OBSERVED
8093, 2062, 20.7845, 14.4806, 100, 0, 1, 0.0, NOT,OBSERVED
8094, 2063, 22.4845, 14.3446, 100, 0, 1, 0.0, NOT,OBSERVED
8095, 2064, 25.4945, 14.0365, 100, 0, 1, 0.0, NOT,OBSERVED
8096, 2065, 26.1345, 13.9692, 100, 0, 1, 0.0, NOT,OBSERVED
8097, 2066, 26.8345, 13.8956, 100, 5, 1, 8786.1323, 58041,58042,58043,58044,58049,
8098, 5098, 193.8819, 42.105, 111, 8, 6, 40256.5615, 57056,57088,57027,57062,57066,57037,57059,57087,
8099, 5094, 141.8131, 27.5981, 321, 6, 6, 30937.4401, 57409,57414,57358,57361,57464,57436,
8100, 5094, 141.8131, 27.5981, 421, 6, 6, 21991.6868, 57680,57474,57411,57679,57360,57471,
8101, 5117, 92.8435, 44.3298, 100, 4, 3, 13828.7471, 57328,57114,57083,57324,
8102, 5117, 92.8435, 44.3298, 200, 3, 3, 16920.7853, 57329,57356,57350,
8103, 5108, 104.0242, 24.8318, 200, 3, 3, 14160.1707, 57361,57467,57357,
8104, 5012, 287.3999, 42.884, 100, 1, 1, 5113.5968, 57266,
8105, 5015, 296.1292, 43.5167, 100, 1, 1, 5913.9513, 57269,
8106, 5016, 292.7707, 42.0902, 100, 1, 1, 4531.8808, 57533,
8107, 5017, 289.5624, 40.5389, 100, 1, 1, 5290.265, 57529,
8108, 5018, 286.4874, 38.9081, 100, 2, 1, 5615.338, 57552,57553,
8109, 5019, 297.9375, 40.9965, 100, 3, 1, 6119.2334, 57578,57580,57575,
8110, 5020, 294.6833, 39.6141, 100, 4, 1, 4143.5795, 57562,57572,57573,57574,
8111, 5021, 291.5541, 38.1605, 200, 2, 1, 7068.5041, 57296,57297,
8112, 5118, 227.9, 67.11, 111, 20, 20, 87540.4867312, 57056,57856,57826,57092,57861,57064,58293,57879,57887,57916,57886,57055,
8113, 5112, 41.5393, 37.5025, 100, 3, 3, 14814.4358, 57291,57294,57323,
8114, 5113, 13.4797, 39.8644, 100, 3, 3, 13487.9176, 57265,57292,57271,
8115, 5115, 131.5, 11.8833, 111, 6, 6, 24631.5231, 57058,57027,57061,57081,57022,57087,
8116, 5115, 131.5, 11.8833, 211, 6, 6, 26376.2935, 57060,57350,57063,57323,57327,57119,
8117, 5116, 138.75, 22.3166, 111, 6, 6, 28806.2225, 57088,57058,57027,57061,57108,57083,
8118, 5114, 80.0, 24.5, 111, 7, 6, 39465.3664, 57056,57059,57028,58069,57081,57049,57087,
